date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:59	71905/71905	---M--	200	added ('OK')	image/jpeg	etag:%22e8cc6a86fb79ad807984a9a20505b73a%22	https://go-tailwind.preview.uideck.com/src/images/team/image-1.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/team/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:00	81556/81556	---M--	200	added ('OK')	image/jpeg	etag:%22749bde3f881bc6ecd5600a12ef92a361%22	https://go-tailwind.preview.uideck.com/src/images/team/image-2.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/team/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:01	69683/69683	---M--	200	added ('OK')	image/jpeg	etag:%2231d1ee2dd374518890e02e8ead772d20%22	https://go-tailwind.preview.uideck.com/src/images/team/image-3.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/team/image-3.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:02	67926/67926	---M--	200	added ('OK')	image/jpeg	etag:%22ba79eae3933b543ea0478c4553b76e6b%22	https://go-tailwind.preview.uideck.com/src/images/portfolio/image-1.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/portfolio/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:04	84824/84824	---M--	200	added ('OK')	image/jpeg	etag:%22b80cbe769ef609c2c2140e1e4819df51%22	https://go-tailwind.preview.uideck.com/src/images/portfolio/image-2.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/portfolio/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:04	22571/22571	---M--	200	added ('OK')	image/jpeg	etag:%2222a8a8188c109816c6ba4ffdc5c5d0a2%22	https://go-tailwind.preview.uideck.com/src/images/portfolio/image-3.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/portfolio/image-3.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:05	67126/67126	---M--	200	added ('OK')	image/jpeg	etag:%22eb93514b7bf925464f71b9f792d6b0de%22	https://go-tailwind.preview.uideck.com/src/images/portfolio/image-4.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/portfolio/image-4.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:06	86920/86920	---M--	200	added ('OK')	image/jpeg	etag:%2267b43b7b18d086655dc31554d74faaf0%22	https://go-tailwind.preview.uideck.com/src/images/testimonial/image-1.jpg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/testimonial/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
17:25:08	8265/8265	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224d4d37dfbc930db8cb789fd813ab3073%22	https://go-tailwind.preview.uideck.com/src/images/brands/uideck.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/uideck.svg	(from https://go-tailwind.preview.uideck.com/)
17:25:09	6616/6616	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bbd79d2b5d6dd3ebdea42b67d6de71fa%22	https://go-tailwind.preview.uideck.com/src/images/brands/uideck-2.svg	/home/sefrel/websites/Gostartup/go-tailwind.preview.uideck.com/src/images/brands/uideck-2.svg	(from https://go-tailwind.preview.uideck.com/)
